Sort Order,Investment_ID,Investment_Name,Program_Form_Set_ID,Program_Form_Set_Name,Agency_ID,Agency_Name,Program_ID,Program_Name,Impact_Area_ID,Impact_Area,Outcome_Type_ID,Outcome_Type_Name,Standard_Outcome_ID,Strategy_ID,Strategy_Name,Outcome_Indicator_Type_ID,Outcome_Indicator_Type_Name,Standard_Outcome_Indicator_ID,Outcome_Indicator_ID,Outcome_Indicator_Name,Form_Status,Form_Section_ID,Form_Section_Header,Unique Count July 2019,Unique Count August 2019,Unique Count September 2019,Annual Target 2019 (if applicable)
624,15797,Impact Councils - Impact Council Reporting - Ready Children Impact Council,24403,Indicator 3,18498,Agency E,73206,Agency E Program 5,2530,Ready Children,12977,Strategy,11846,631642,Partner with early childhood education centers to create a culture of child-centered and developmentally appropriate practices in all of the below ways: (3.2),14843,How MUCH did we do?,21569,933504,# teachers successfully completing professional development aligning with quality domains of TRS certifcation and/or national accreditation (How Well),Submitted,135352,How Much,0.0,12.0,13,11.0
775,15797,Impact Councils - Impact Council Reporting - Ready Children Impact Council,24412,Indicator 4,18498,Agency E,73214,Agency E Program 6,2530,Ready Children,12977,Strategy,11850,631685,Increase parent and caregiver knowledge and understanding of age-appropriate developmental milestones through preventive programs (4.2),14844,How WELL did we do it?,21594,933854,# & % of children 0-5 in participating families meeting age appropriate developmental milestones (Better Off),Submitted,135360,How Well,0.0,0.0,0,240.0
776,15797,Impact Councils - Impact Council Reporting - Ready Children Impact Council,24412,Indicator 4,18498,Agency E,73214,Agency E Program 6,2530,Ready Children,12977,Strategy,11850,631685,Increase parent and caregiver knowledge and understanding of age-appropriate developmental milestones through preventive programs (4.2),14844,How WELL did we do it?,21444,933849,# & % of families completing programming (How Well),Submitted,135360,How Well,0.0,0.0,0,210.0
777,15797,Impact Councils - Impact Council Reporting - Ready Children Impact Council,24412,Indicator 4,18498,Agency E,73214,Agency E Program 6,2530,Ready Children,12977,Strategy,11850,631685,Increase parent and caregiver knowledge and understanding of age-appropriate developmental milestones through preventive programs (4.2),14844,How WELL did we do it?,21596,933850,# & % of participating families completing programming (How Well) RCIC 4.2,Submitted,135360,How Well,0.0,0.0,0,210.0
778,15797,Impact Councils - Impact Council Reporting - Ready Children Impact Council,24412,Indicator 4,18498,Agency E,73214,Agency E Program 6,2530,Ready Children,12977,Strategy,11850,631685,Increase parent and caregiver knowledge and understanding of age-appropriate developmental milestones through preventive programs (4.2),14845,Is anyone BETTER OFF?,21598,933852,# & % of participating families demonstrating an increase in parent/caregiver knowledge specific to age appropriate developmental milestones (How Well) RCIC 4.2,Submitted,135358,Better Off,0.0,0.0,0,178.0
779,15797,Impact Councils - Impact Council Reporting - Ready Children Impact Council,24412,Indicator 4,18498,Agency E,73214,Agency E Program 6,2530,Ready Children,12977,Strategy,11850,631685,Increase parent and caregiver knowledge and understanding of age-appropriate developmental milestones through preventive programs (4.2),14844,How WELL did we do it?,21590,933846,# & % of recruited families with children 0-5 participating in programming (How Well),Submitted,135360,How Well,0.0,0.0,0,240.0
780,15797,Impact Councils - Impact Council Reporting - Ready Children Impact Council,24412,Indicator 4,18498,Agency E,73214,Agency E Program 6,2530,Ready Children,12977,Strategy,11850,631685,Increase parent and caregiver knowledge and understanding of age-appropriate developmental milestones through preventive programs (4.2),14843,How MUCH did we do?,21591,933847,# of children 0-5 in families enrolled as participants (How Much),Submitted,135352,How Much,0.0,0.0,0,240.0
781,15797,Impact Councils - Impact Council Reporting - Ready Children Impact Council,24412,Indicator 4,18498,Agency E,73214,Agency E Program 6,2530,Ready Children,12977,Strategy,11850,631685,Increase parent and caregiver knowledge and understanding of age-appropriate developmental milestones through preventive programs (4.2),14843,How MUCH did we do?,21593,933853,# of children 0-5 meeting age appropriate developmental milestones (Better Off),Submitted,135352,How Much,0.0,0.0,0,240.0
782,15797,Impact Councils - Impact Council Reporting - Ready Children Impact Council,24412,Indicator 4,18498,Agency E,73214,Agency E Program 6,2530,Ready Children,12977,Strategy,11850,631685,Increase parent and caregiver knowledge and understanding of age-appropriate developmental milestones through preventive programs (4.2),14843,How MUCH did we do?,21446,933851,# of families demonstrating an increase in parent/caregiver knowledge specific to age appropriate developmental milestones (How Well),Submitted,135352,How Much,0.0,0.0,0,182.0
784,15797,Impact Councils - Impact Council Reporting - Ready Children Impact Council,24412,Indicator 4,18498,Agency E,73214,Agency E Program 6,2530,Ready Children,12977,Strategy,11850,631685,Increase parent and caregiver knowledge and understanding of age-appropriate developmental milestones through preventive programs (4.2),14843,How MUCH did we do?,21589,933845,# of families with children 0-5 enrolled in programming as participants (How Much),Submitted,135352,How Much,0.0,0.0,0,240.0
785,15797,Impact Councils - Impact Council Reporting - Ready Children Impact Council,24412,Indicator 4,18498,Agency E,73214,Agency E Program 6,2530,Ready Children,12977,Strategy,11850,631685,Increase parent and caregiver knowledge and understanding of age-appropriate developmental milestones through preventive programs (4.2),14843,How MUCH did we do?,21588,933844,# of families with children 0-5 recruited for programming (How Much),Submitted,135352,How Much,0.0,27.0,30,260.0
911,15798,Impact Councils - Impact Council Reporting - Successful Students Impact Council,24366,Indicator 1.1 Strategy 1.1A,18498,Agency E,73251,Agency E Program 7,2531,Successful Students,12977,Strategy,11864,631929,Increase the number of diverse and evidence-based reading programs for children and adults (Indicator 1.1),14844,How WELL did we do it?,21798,934945,# & %  of participating 1st-3rd grade students attending 80%+ of program as scheduled (How Well) SSIC 1.1A,Submitted,135360,How Well,0.0,0.0,0,552.0
912,15798,Impact Councils - Impact Council Reporting - Successful Students Impact Council,24366,Indicator 1.1 Strategy 1.1A,18498,Agency E,73251,Agency E Program 7,2531,Successful Students,12977,Strategy,11864,631929,Increase the number of diverse and evidence-based reading programs for children and adults (Indicator 1.1),14844,How WELL did we do it?,21802,934947,# & % of participating 1st grade students narrowing reading proficiency gap by the end of the school year (even if students are not reading at grade level) (Better Off) SSIC 1.1A,Submitted,135360,How Well,0.0,0.0,0,168.0
913,15798,Impact Councils - Impact Council Reporting - Successful Students Impact Council,24366,Indicator 1.1 Strategy 1.1A,18498,Agency E,73251,Agency E Program 7,2531,Successful Students,12977,Strategy,11864,631929,Increase the number of diverse and evidence-based reading programs for children and adults (Indicator 1.1),14844,How WELL did we do it?,21794,934942,# & % of participating 1st-3rd grade students assessed as at risk of becoming off-track to achieve reading proficiency at or above grade level by the end of the school year (at time of enrollment) (How Much) SSIC 1.1A,Submitted,135360,How Well,0.0,0.0,0,414.0
914,15798,Impact Councils - Impact Council Reporting - Successful Students Impact Council,24366,Indicator 1.1 Strategy 1.1A,18498,Agency E,73251,Agency E Program 7,2531,Successful Students,12977,Strategy,11864,631929,Increase the number of diverse and evidence-based reading programs for children and adults (Indicator 1.1),14844,How WELL did we do it?,21792,934940,# & % of participating 1st-3rd grade students assessed as off-track to achieve reading proficiency at or above grade level by the end of the school year (at time of enrollment)(How Much) SSIC 1.1A,Submitted,135360,How Well,0.0,0.0,0,276.0
915,15798,Impact Councils - Impact Council Reporting - Successful Students Impact Council,24366,Indicator 1.1 Strategy 1.1A,18498,Agency E,73251,Agency E Program 7,2531,Successful Students,12977,Strategy,11864,631929,Increase the number of diverse and evidence-based reading programs for children and adults (Indicator 1.1),14845,Is anyone BETTER OFF?,21800,934946,# & % of participating 1st-3rd grade students completing program (How Well) SSIC 1.1A,Submitted,135358,Better Off,0.0,0.0,0,552.0
916,15798,Impact Councils - Impact Council Reporting - Successful Students Impact Council,24366,Indicator 1.1 Strategy 1.1A,18498,Agency E,73251,Agency E Program 7,2531,Successful Students,12977,Strategy,11864,631929,Increase the number of diverse and evidence-based reading programs for children and adults (Indicator 1.1),14845,Is anyone BETTER OFF?,21804,934948,# & % of participating 2nd grade students narrowing reading proficiency gap by the end of the school year (even if students are not reading at grade level) (Better Off) SSIC 1.1A,Submitted,135358,Better Off,0.0,0.0,0,192.0
917,15798,Impact Councils - Impact Council Reporting - Successful Students Impact Council,24366,Indicator 1.1 Strategy 1.1A,18498,Agency E,73251,Agency E Program 7,2531,Successful Students,12977,Strategy,11864,631929,Increase the number of diverse and evidence-based reading programs for children and adults (Indicator 1.1),14845,Is anyone BETTER OFF?,21812,934953,# & % of participating 2nd grade students with reading proficiency at or above grade level by the end of the school year (as assessed by either school or program) (Better Off) SSIC 1.1A,Submitted,135358,Better Off,0.0,0.0,0,192.0
918,15798,Impact Councils - Impact Council Reporting - Successful Students Impact Council,24366,Indicator 1.1 Strategy 1.1A,18498,Agency E,73251,Agency E Program 7,2531,Successful Students,12977,Strategy,11864,631929,Increase the number of diverse and evidence-based reading programs for children and adults (Indicator 1.1),14845,Is anyone BETTER OFF?,21806,934949,# & % of participating 3rd grade students narrowing reading proficiency gap by the end of the school year (even if students are not reading at grade level) (Better Off) SSIC 1.1A,Submitted,135358,Better Off,0.0,0.0,0,192.0
919,15798,Impact Councils - Impact Council Reporting - Successful Students Impact Council,24366,Indicator 1.1 Strategy 1.1A,18498,Agency E,73251,Agency E Program 7,2531,Successful Students,12977,Strategy,11864,631929,Increase the number of diverse and evidence-based reading programs for children and adults (Indicator 1.1),14845,Is anyone BETTER OFF?,21818,934956,# & % of participating 3rd grade students passing 3rd grade STAAR reading assessment (Better Off) SSIC 1.1A,Submitted,135358,Better Off,0.0,0.0,0,120.0
920,15798,Impact Councils - Impact Council Reporting - Successful Students Impact Council,24366,Indicator 1.1 Strategy 1.1A,18498,Agency E,73251,Agency E Program 7,2531,Successful Students,12977,Strategy,11864,631929,Increase the number of diverse and evidence-based reading programs for children and adults (Indicator 1.1),14845,Is anyone BETTER OFF?,21814,934954,# & % of participating 3rd grade students with reading proficiency at or above grade level by the end of the school year (as assessed by either school or program) (Better Off) SSIC 1.1A,Submitted,135358,Better Off,0.0,0.0,0,192.0
921,15798,Impact Councils - Impact Council Reporting - Successful Students Impact Council,24366,Indicator 1.1 Strategy 1.1A,18498,Agency E,73251,Agency E Program 7,2531,Successful Students,12977,Strategy,11864,631929,Increase the number of diverse and evidence-based reading programs for children and adults (Indicator 1.1),14844,How WELL did we do it?,21796,934944,# & % of participating students with at least one adult (e.g. family member or mentor - NOT PROGRAM STAFF) with an active role supporting progress towards grade level reading proficiency (How Much) SSIC 1.1A,Submitted,135360,How Well,0.0,0.0,0,690.0
922,15798,Impact Councils - Impact Council Reporting - Successful Students Impact Council,24366,Indicator 1.1 Strategy 1.1A,18498,Agency E,73251,Agency E Program 7,2531,Successful Students,12977,Strategy,11864,631929,Increase the number of diverse and evidence-based reading programs for children and adults (Indicator 1.1),14844,How WELL did we do it?,21786,934936,# & % of students enrolled in program who are in 1st grade (How Much) SSIC 1.1A,Submitted,135360,How Well,0.0,0.0,0,210.0
923,15798,Impact Councils - Impact Council Reporting - Successful Students Impact Council,24366,Indicator 1.1 Strategy 1.1A,18498,Agency E,73251,Agency E Program 7,2531,Successful Students,12977,Strategy,11864,631929,Increase the number of diverse and evidence-based reading programs for children and adults (Indicator 1.1),14844,How WELL did we do it?,21788,934937,# & % of students enrolled in program who are in 2nd grade (How Much) SSIC 1.1A,Submitted,135360,How Well,0.0,0.0,0,240.0
924,15798,Impact Councils - Impact Council Reporting - Successful Students Impact Council,24366,Indicator 1.1 Strategy 1.1A,18498,Agency E,73251,Agency E Program 7,2531,Successful Students,12977,Strategy,11864,631929,Increase the number of diverse and evidence-based reading programs for children and adults (Indicator 1.1),14844,How WELL did we do it?,21790,934938,# & % of students enrolled in program who are in 3rd grade (How Much) SSIC 1.1A,Submitted,135360,How Well,0.0,0.0,0,240.0
925,15798,Impact Councils - Impact Council Reporting - Successful Students Impact Council,24366,Indicator 1.1 Strategy 1.1A,18498,Agency E,73251,Agency E Program 7,2531,Successful Students,12977,Strategy,11864,631929,Increase the number of diverse and evidence-based reading programs for children and adults (Indicator 1.1),14844,How WELL did we do it?,21808,934950,# & % total of participating 1st-3rd grade students narrowing reading proficiency gap by the end of the school year (even if students are not reading at grade level) (Better Off) SSIC 1.1A,Submitted,135360,How Well,0.0,0.0,0,552.0
926,15798,Impact Councils - Impact Council Reporting - Successful Students Impact Council,24366,Indicator 1.1 Strategy 1.1A,18498,Agency E,73251,Agency E Program 7,2531,Successful Students,12977,Strategy,11864,631929,Increase the number of diverse and evidence-based reading programs for children and adults (Indicator 1.1),14845,Is anyone BETTER OFF?,21816,934955,# & % total of participating 1st-3rd grade students with reading proficiency at or above grade level by the end of the school year (as assessed by either school or program) (Better Off) SSIC 1.1A,Submitted,135358,Better Off,0.0,0.0,0,552.0
927,15798,Impact Councils - Impact Council Reporting - Successful Students Impact Council,24366,Indicator 1.1 Strategy 1.1A,18498,Agency E,73251,Agency E Program 7,2531,Successful Students,12977,Strategy,11864,631929,Increase the number of diverse and evidence-based reading programs for children and adults (Indicator 1.1),14844,How WELL did we do it?,21810,934951,# & Percent of participating 1st grade students with reading proficiency at or above grade level by the end of the school year (as assessed by either school or program) (Better Off) SSIC 1.1A,Submitted,135360,How Well,0.0,0.0,0,168.0
928,15798,Impact Councils - Impact Council Reporting - Successful Students Impact Council,24366,Indicator 1.1 Strategy 1.1A,18498,Agency E,73251,Agency E Program 7,2531,Successful Students,12977,Strategy,11864,631929,Increase the number of diverse and evidence-based reading programs for children and adults (Indicator 1.1),14843,How MUCH did we do?,21791,934939,# total of 1st-3rd grade students enrolled in program (How Much) SSIC 1.1A,Submitted,135352,How Much,0.0,0.0,0,690.0
929,15798,Impact Councils - Impact Council Reporting - Successful Students Impact Council,24366,Indicator 1.1 Strategy 1.1A,18498,Agency E,73251,Agency E Program 7,2531,Successful Students,12977,Strategy,11864,631929,Increase the number of diverse and evidence-based reading programs for children and adults (Indicator 1.1),14845,Is anyone BETTER OFF?,21811,934952,% of participating 1st grade students with reading proficiency at or above grade level by the end of the school year (as assessed by either school or program) (Better Off) SSIC 1.1A,Submitted,135358,Better Off,0.0,0.0,0,168.0
930,15798,Impact Councils - Impact Council Reporting - Successful Students Impact Council,24366,Indicator 1.1 Strategy 1.1A,18498,Agency E,73251,Agency E Program 7,2531,Successful Students,12977,Strategy,11864,631929,Increase the number of diverse and evidence-based reading programs for children and adults (Indicator 1.1),14843,How MUCH did we do?,21795,934943,% of participating 1st-3rd grade students assessed as at risk of becoming off-track to achieve reading proficiency at or above grade level by the end of the school year (at time of enrollment) (How Much) SSIC 1.1A,Submitted,135352,How Much,0.0,0.0,0,414.0
931,15798,Impact Councils - Impact Council Reporting - Successful Students Impact Council,24366,Indicator 1.1 Strategy 1.1A,18498,Agency E,73251,Agency E Program 7,2531,Successful Students,12977,Strategy,11864,631929,Increase the number of diverse and evidence-based reading programs for children and adults (Indicator 1.1),14843,How MUCH did we do?,21793,934941,% of participating 1st-3rd grade students assessed as off-track to achieve reading proficiency at or above grade level by the end of the school year (at time of enrollment) (How Much) SSIC 1.1A,Submitted,135352,How Much,0.0,0.0,0,276.0
1137,15798,Impact Councils - Impact Council Reporting - Successful Students Impact Council,24370,Indicator 2.1 Strategy 2.1A & 2.1B,18498,Agency E,73261,Agency E Program 8,2531,Successful Students,12977,Strategy,11868,632051,Create an innovative “transition camp” for youth entering middle school and high school and their guardians to decrease future absenteeism and transition to the norms of a new school environment. (Indicator 2.1A),14844,How WELL did we do it?,21879,935270,#  & % of participating 5th grade students at risk of becoming chronically absent (at time of enrollment) (How Much) SSIC 2.1A,Submitted,135360,How Well,0.0,0.0,0,40.0
1138,15798,Impact Councils - Impact Council Reporting - Successful Students Impact Council,24370,Indicator 2.1 Strategy 2.1A & 2.1B,18498,Agency E,73261,Agency E Program 8,2531,Successful Students,12977,Strategy,11868,632051,Create an innovative “transition camp” for youth entering middle school and high school and their guardians to decrease future absenteeism and transition to the norms of a new school environment. (Indicator 2.1A),14845,Is anyone BETTER OFF?,21894,935278,# & % of participating 5th and 8th grade students completing intervention(s) demonstrating increased school attendance (Better Off) SSIC 2.1A,Submitted,135358,Better Off,0.0,0.0,0,0.0
1139,15798,Impact Councils - Impact Council Reporting - Successful Students Impact Council,24370,Indicator 2.1 Strategy 2.1A & 2.1B,18498,Agency E,73261,Agency E Program 8,2531,Successful Students,12977,Strategy,11868,632051,Create an innovative “transition camp” for youth entering middle school and high school and their guardians to decrease future absenteeism and transition to the norms of a new school environment. (Indicator 2.1A),14845,Is anyone BETTER OFF?,21896,935279,# & % of participating 5th and 8th students completing intervention(s) no longer chronically absent (Better Off) SSIC 2.1A,Submitted,135358,Better Off,0.0,0.0,0,0.0
1140,15798,Impact Councils - Impact Council Reporting - Successful Students Impact Council,24370,Indicator 2.1 Strategy 2.1A & 2.1B,18498,Agency E,73261,Agency E Program 8,2531,Successful Students,12977,Strategy,11868,632051,Create an innovative “transition camp” for youth entering middle school and high school and their guardians to decrease future absenteeism and transition to the norms of a new school environment. (Indicator 2.1A),14844,How WELL did we do it?,21877,935269,# & % of participating 5th grade students chronically absent (at time of enrollment) (How Much) SSIC 2.1A,Submitted,135360,How Well,0.0,0.0,0,40.0
1141,15798,Impact Councils - Impact Council Reporting - Successful Students Impact Council,24370,Indicator 2.1 Strategy 2.1A & 2.1B,18498,Agency E,73261,Agency E Program 8,2531,Successful Students,12977,Strategy,11868,632051,Create an innovative “transition camp” for youth entering middle school and high school and their guardians to decrease future absenteeism and transition to the norms of a new school environment. (Indicator 2.1A),14844,How WELL did we do it?,21885,935273,# & % of participating 8th grade students at risk of becoming chronically absent (at time of enrollment) (How Much) SSIC 2.1A,Submitted,135360,How Well,0.0,0.0,0,45.0
1142,15798,Impact Councils - Impact Council Reporting - Successful Students Impact Council,24370,Indicator 2.1 Strategy 2.1A & 2.1B,18498,Agency E,73261,Agency E Program 8,2531,Successful Students,12977,Strategy,11868,632051,Create an innovative “transition camp” for youth entering middle school and high school and their guardians to decrease future absenteeism and transition to the norms of a new school environment. (Indicator 2.1A),14844,How WELL did we do it?,21883,935272,# & % of participating 8th grade students chronically absent (at time of enrollment) (How Much) SSIC 2.1A,Submitted,135360,How Well,0.0,0.0,0,40.0
1143,15798,Impact Councils - Impact Council Reporting - Successful Students Impact Council,24370,Indicator 2.1 Strategy 2.1A & 2.1B,18498,Agency E,73261,Agency E Program 8,2531,Successful Students,12977,Strategy,11868,632051,Create an innovative “transition camp” for youth entering middle school and high school and their guardians to decrease future absenteeism and transition to the norms of a new school environment. (Indicator 2.1A),14844,How WELL did we do it?,21873,935265,# & % of students enrolled in transition camp who are 5th grade students (How Much) SSIC 2.1A,Submitted,135360,How Well,0.0,0.0,0,125.0
1144,15798,Impact Councils - Impact Council Reporting - Successful Students Impact Council,24370,Indicator 2.1 Strategy 2.1A & 2.1B,18498,Agency E,73261,Agency E Program 8,2531,Successful Students,12977,Strategy,11868,632051,Create an innovative “transition camp” for youth entering middle school and high school and their guardians to decrease future absenteeism and transition to the norms of a new school environment. (Indicator 2.1A),14844,How WELL did we do it?,21875,935267,# & % of students enrolled in transition camp who are 8th grade students (How Much) SSIC 2.1A,Submitted,135360,How Well,0.0,0.0,0,125.0
1145,15798,Impact Councils - Impact Council Reporting - Successful Students Impact Council,24370,Indicator 2.1 Strategy 2.1A & 2.1B,18498,Agency E,73261,Agency E Program 8,2531,Successful Students,12977,Strategy,11868,632051,Create an innovative “transition camp” for youth entering middle school and high school and their guardians to decrease future absenteeism and transition to the norms of a new school environment. (Indicator 2.1A),14844,How WELL did we do it?,21892,935277,# & % total of participating 5th and 8th grade students completing transition camp (How Well) SSIC 2.1A,Submitted,135360,How Well,0.0,34.0,37,180.0
1146,15798,Impact Councils - Impact Council Reporting - Successful Students Impact Council,24370,Indicator 2.1 Strategy 2.1A & 2.1B,18498,Agency E,73261,Agency E Program 8,2531,Successful Students,12977,Strategy,11868,632051,Create an innovative “transition camp” for youth entering middle school and high school and their guardians to decrease future absenteeism and transition to the norms of a new school environment. (Indicator 2.1A),14844,How WELL did we do it?,21891,935276,# & % total of participating 5th and 8th grade students participating in 80%+ of transition camp activities/sessions (How Well) SSIC 2.1A,Submitted,135360,How Well,0.0,0.0,0,180.0
1147,15798,Impact Councils - Impact Council Reporting - Successful Students Impact Council,24370,Indicator 2.1 Strategy 2.1A & 2.1B,18498,Agency E,73261,Agency E Program 8,2531,Successful Students,12977,Strategy,11868,632051,Create an innovative “transition camp” for youth entering middle school and high school and their guardians to decrease future absenteeism and transition to the norms of a new school environment. (Indicator 2.1A),14844,How WELL did we do it?,21889,935275,# & % total of participating 5th and 8th grade students with at least one parent/guardian participating in transition camp activities (How Much) SSIC 2.1A,Submitted,135360,How Well,0.0,0.0,0,226.0
1148,15798,Impact Councils - Impact Council Reporting - Successful Students Impact Council,24370,Indicator 2.1 Strategy 2.1A & 2.1B,18498,Agency E,73261,Agency E Program 8,2531,Successful Students,12977,Strategy,11868,632051,Create an innovative “transition camp” for youth entering middle school and high school and their guardians to decrease future absenteeism and transition to the norms of a new school environment. (Indicator 2.1A),14844,How WELL did we do it?,21881,935271,# & % total of participating 5th grade students either chronically absent or at risk of becoming chronically absent (at time of enrollment) (How Much) SSIC 2.1A,Submitted,135360,How Well,0.0,0.0,0,80.0
1149,15798,Impact Councils - Impact Council Reporting - Successful Students Impact Council,24370,Indicator 2.1 Strategy 2.1A & 2.1B,18498,Agency E,73261,Agency E Program 8,2531,Successful Students,12977,Strategy,11868,632051,Create an innovative “transition camp” for youth entering middle school and high school and their guardians to decrease future absenteeism and transition to the norms of a new school environment. (Indicator 2.1A),14844,How WELL did we do it?,21887,935274,# & % total of participating 8th grade students either chronically absent or at risk of becoming chronically absent (at time of enrollment) (How Much) SSIC 2.1A,Submitted,135360,How Well,0.0,0.0,0,85.0
1150,15798,Impact Councils - Impact Council Reporting - Successful Students Impact Council,24370,Indicator 2.1 Strategy 2.1A & 2.1B,18498,Agency E,73261,Agency E Program 8,2531,Successful Students,12977,Strategy,11868,632051,Create an innovative “transition camp” for youth entering middle school and high school and their guardians to decrease future absenteeism and transition to the norms of a new school environment. (Indicator 2.1A),14843,How MUCH did we do?,21872,935264,# of 5th grade students enrolled in transition camp (How Much) SSIC 2.1A,Submitted,135352,How Much,0.0,0.0,0,125.0
1151,15798,Impact Councils - Impact Council Reporting - Successful Students Impact Council,24370,Indicator 2.1 Strategy 2.1A & 2.1B,18498,Agency E,73261,Agency E Program 8,2531,Successful Students,12977,Strategy,11868,632051,Create an innovative “transition camp” for youth entering middle school and high school and their guardians to decrease future absenteeism and transition to the norms of a new school environment. (Indicator 2.1A),14843,How MUCH did we do?,21874,935266,# of 8th grade students enrolled in transition camp (How Much) SSIC 2.1A,Submitted,135352,How Much,34.0,0.0,0,125.0
1152,15798,Impact Councils - Impact Council Reporting - Successful Students Impact Council,24370,Indicator 2.1 Strategy 2.1A & 2.1B,18498,Agency E,73261,Agency E Program 8,2531,Successful Students,12977,Strategy,11868,632051,Create an innovative “transition camp” for youth entering middle school and high school and their guardians to decrease future absenteeism and transition to the norms of a new school environment. (Indicator 2.1A),14843,How MUCH did we do?,21876,935268,# total of 5th and 8th grade students enrolled in transition camp (How Much) SSIC 2.1A,Submitted,135352,How Much,34.0,0.0,0,250.0
1153,15798,Impact Councils - Impact Council Reporting - Successful Students Impact Council,24370,Indicator 2.1 Strategy 2.1A & 2.1B,18498,Agency E,73261,Agency E Program 8,2531,Successful Students,12977,Strategy,11871,632054,Develop advocacy programs for students referred for disciplinary/behavior reasons and secure services for families. (Indicator 2.2B),14844,How WELL did we do it?,21931,935302,# & % of systems demonstrating a reduction in disciplinary referrals after achievement of system level changes (Better Off) SSIC 2.2B,Submitted,135360,How Well,0.0,0.0,0,5.0
1154,15798,Impact Councils - Impact Council Reporting - Successful Students Impact Council,24370,Indicator 2.1 Strategy 2.1A & 2.1B,18498,Agency E,73261,Agency E Program 8,2531,Successful Students,12977,Strategy,11871,632054,Develop advocacy programs for students referred for disciplinary/behavior reasons and secure services for families. (Indicator 2.2B),14844,How WELL did we do it?,21933,935303,# & % of systems sustaining a reduction in disciplinary referrals after achievement of system level changes (Better Off) SSIC 2.2B,Submitted,135360,How Well,0.0,0.0,0,5.0
1155,15798,Impact Councils - Impact Council Reporting - Successful Students Impact Council,24370,Indicator 2.1 Strategy 2.1A & 2.1B,18498,Agency E,73261,Agency E Program 8,2531,Successful Students,12977,Strategy,11871,632054,Develop advocacy programs for students referred for disciplinary/behavior reasons and secure services for families. (Indicator 2.2B),14843,How MUCH did we do?,21929,935300,# of systems engaged on reform (How Much) SSIC 2.2B,Submitted,135352,How Much,3.0,5.0,6,5.0
1156,15798,Impact Councils - Impact Council Reporting - Successful Students Impact Council,24370,Indicator 2.1 Strategy 2.1A & 2.1B,18498,Agency E,73261,Agency E Program 8,2531,Successful Students,12977,Strategy,11871,632054,Develop advocacy programs for students referred for disciplinary/behavior reasons and secure services for families. (Indicator 2.2B),14843,How MUCH did we do?,21936,935305,"% change in disciplinary referral rate (In-School Suspension, Out-of-School Suspension, and/or to a Disciplinary Alternative Education Program) (Better Off) SSIC 2.2B",Submitted,135352,How Much,0.0,0.0,0,0.0
1157,15798,Impact Councils - Impact Council Reporting - Successful Students Impact Council,24370,Indicator 2.1 Strategy 2.1A & 2.1B,18498,Agency E,73261,Agency E Program 8,2531,Successful Students,12977,Strategy,11871,632054,Develop advocacy programs for students referred for disciplinary/behavior reasons and secure services for families. (Indicator 2.2B),14843,How MUCH did we do?,21930,935301,"% of students with disciplinary referrals (In-School Suspension, Out-of-School Suspension, and/or to a Disciplinary Alternative Education Program) (How Much) SSIC 2.2B",Submitted,135352,How Much,0.0,0.0,0,0.0
1158,15798,Impact Councils - Impact Council Reporting - Successful Students Impact Council,24370,Indicator 2.1 Strategy 2.1A & 2.1B,18498,Agency E,73261,Agency E Program 8,2531,Successful Students,12977,Strategy,11871,632054,Develop advocacy programs for students referred for disciplinary/behavior reasons and secure services for families. (Indicator 2.2B),14843,How MUCH did we do?,21935,935304,"% of students with disciplinary referrals (In-School Suspension, Out-of-School Suspension, and/or to a Disciplinary Alternative Education) Program after achievement of system level changes (Better Off) SSIC 2.2B",Submitted,135352,How Much,0.0,0.0,0,0.0
1159,15798,Impact Councils - Impact Council Reporting - Successful Students Impact Council,24370,Indicator 2.1 Strategy 2.1A & 2.1B,18498,Agency E,73261,Agency E Program 8,2531,Successful Students,12977,Strategy,11870,632053,"Increase number of evidence-based programs that Identify students with behavioral issues, Assess needs for behavioral support and address needs based on assessment (Indicator 2.2A)",14844,How WELL did we do it?,21921,935294,# & % of identified students with disciplinary referrals and/or behavioral issues enrolled in appropriate intervention(s) (How Much) SSIC 2.2A,Submitted,135360,How Well,0.0,0.0,0,100.0
1160,15798,Impact Councils - Impact Council Reporting - Successful Students Impact Council,24370,Indicator 2.1 Strategy 2.1A & 2.1B,18498,Agency E,73261,Agency E Program 8,2531,Successful Students,12977,Strategy,11870,632053,"Increase number of evidence-based programs that Identify students with behavioral issues, Assess needs for behavioral support and address needs based on assessment (Indicator 2.2A)",14844,How WELL did we do it?,21923,935295,# & % of participating students completing intervention(s) (How Well) SSIC 2.2A,Submitted,135360,How Well,0.0,34.0,37,80.0
1161,15798,Impact Councils - Impact Council Reporting - Successful Students Impact Council,24370,Indicator 2.1 Strategy 2.1A & 2.1B,18498,Agency E,73261,Agency E Program 8,2531,Successful Students,12977,Strategy,11870,632053,"Increase number of evidence-based programs that Identify students with behavioral issues, Assess needs for behavioral support and address needs based on assessment (Indicator 2.2A)",14844,How WELL did we do it?,21924,935296,# & % of participating students demonstrating improvement on identified behavioral issues (How Well) SSIC 2.2A,Submitted,135360,How Well,0.0,0.0,0,80.0
